,公司名稱,公司類別描述,職缺名稱,職務性質,職務內容,更新日期,職缺連結,公司地址,地區,經歷,學歷
32,國票期貨股份有限公司,證券及期貨業,金融研究員(精通Python),1,"1.	對期貨、選擇權與股票交易策略研究開發和操作，具有基本概念與熱情。
2.	精通Python能力。
3.	主管交辧事項",3/22,https://www.104.com.tw/job/7396d?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市松山區南京東路5段188號8樓,台北市松山區,經歷不拘,大學
33,聯成電腦有限公司(聯成電腦/聯成外語),補習班,Python 程式設計語言講師(台南地區),2,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",3/24,https://www.104.com.tw/job/5uu1l?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台南市中西區,台南市中西區,2年以上,大學
34,雲端互動股份有限公司,網際網路相關業,Full Stack Developer_Python_台中,1,"Job Responsibility:
1. Ability to develop both Front-End and Back-End with Python Django framework.
2. Ability to work",3/22,https://www.104.com.tw/job/74vpk?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台中市西屯區,台中市西屯區,2年以上,專科
35,綠界科技股份有限公司,電腦系統整合服務業,Python 程式設計師,1,"1.Python 1 年以上的網站開發經驗、熟 Pyramid Framework 佳
2.熟 vue.js 
3.懂 MySQL、PostgreSQL 
4.懂 HTML、JavaScript、CSS 等相關應用
5.熟 GIT 版控",3/19,https://www.104.com.tw/job/6p5b1?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市南港區三重路19-2號6樓之2,台北市南港區,1年以上,專科
36,美商網碩科技股份有限公司台灣分公司,網際網路相關業,PYTHON DEVELOPER 後端工程師,1,"WHAT WE WANT 
FriendFinder Networks is looking for a Senior Python Developer who will work with cross-functional teams to",3/23,https://www.104.com.tw/job/77in7?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市松山區敦化北路214號5樓,台北市松山區,4年以上,專科
37,數聯資安股份有限公司,電腦系統整合服務業,資安軟體研發工程師(Python),1,"我們是遠傳電信的子公司，主要業務為提供客戶資訊安全產品及服務
本項職務主要是配合公司資安服務自動化與系統產品的整合，工作項目包含：
1. 資安系統及開源工具整合(Python或其他語言)。
2. 外部商業系統研究與API整合作業。
3. 相關開源",3/19,https://www.104.com.tw/job/6qcwt?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市內湖區瑞光路218號2樓,台北市內湖區,1年以上,專科
38,伊諾科技有限公司,電腦系統整合服務業,(Big Data Team) Senior Python Data Backend Engineer,1,"1.Design, develop, and maintain Big Data related projects including EDW system and ETL pipeline for data access, collection, processing and storage.
2.Manage deployment of the Big Data Infrastructure and services on AWS.
3.Dedicate to Big Data and Machine Learning Platform using Apache Spark and related technologies.
4.Investigate, survey and evaluate various state-of-the-art technologies.
5.Introduce new technologies and tackle the derived problems.
6.Implement and popularize excellent software development processes and best practices.",3/18,https://www.104.com.tw/job/6qwx5?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市內湖區陽光街300號9 樓,台北市內湖區,4年以上,專科
39,中信金控_台灣人壽保險股份有限公司,人身保險業,資訊_資深Python工程師（Senior Python Programmer）,1,"工作內容：
1. 設計、開發、維護 可重用,有效率的程式碼
2. 專案問題修正與開發新功能
3. 規劃執行軟體架構及模組之設計

工作技能與條件：
1. 三年(含以上)Python開發經驗。
2. 具備 Flask Framework使用經驗。",3/23,https://www.104.com.tw/job/77drj?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市南港區經貿二路188號(中國信託金融園區),台北市南港區,3年以上,大學
40,雄獅資訊科技股份有限公司,電腦軟體服務業,python工程師,1,"工作內容：
1. 負責公司之 Data Science API維護和新功能開發
2. 系統測試代碼實現，自動化測試
3. 參與.討論.協助專案架構設計

職務需求：
1.熟悉 Python3, Pandas
2.熟悉 Flask 框架
3.熟悉 Git 開發管理專案
4.熟悉 MsSql 及 MongoDB 資料庫",3/18,https://www.104.com.tw/job/71rxc?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市內湖區石潭路151號,台北市內湖區,1年以上,專科
41,禾益豐有限公司,塑膠製品製造業,網頁Python爬蟲工程師,1,"使用Python 建立爬蟲程式分析數據、設計以及程式撰寫
2.維護與監測平行處理爬蟲狀態
3.熟悉網路爬蟲技術或有爬蟲經驗
4.具備自我學習及研究的能力。
5.執行客製專案並能獨立作業上線",3/18,https://www.104.com.tw/job/75wxl?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,彰化縣埔心鄉舊館村興霖路186號,彰化縣埔心鄉,2年以上,大學
